index,token_creator,project_name,name,labels
0x705350c4bcd35c9441419ddd5d2f097d7a55410f,0xc4AD0Ef33A0A4ddA3461c479ccb6c36d1e4B7Be4,Curve DAO Token,Curve.fi: sBTC Liquidity Gauge,"['curve-fi', 'yield-farming']"
0xa90996896660decc6e997655e065b23788857849,0xc4AD0Ef33A0A4ddA3461c479ccb6c36d1e4B7Be4,Curve DAO Token,Curve.fi: sUSDv2 Liquidity Gauge,"['curve-fi', 'yield-farming']"
0xb1f2cdec61db658f091671f5f199635aef202cac,0xc4AD0Ef33A0A4ddA3461c479ccb6c36d1e4B7Be4,Curve DAO Token,Curve.fi: renBTC Liquidity Gauge,"['curve-fi', 'yield-farming']"
0x64e3c23bfc40722d3b649844055f1d51c1ac041d,0xc4AD0Ef33A0A4ddA3461c479ccb6c36d1e4B7Be4,Curve DAO Token,Curve.fi: pPAX Liquidity Gauge,"['curve-fi', 'yield-farming']"
0x69fb7c45726cfe2badee8317005d3f94be838840,0xc4AD0Ef33A0A4ddA3461c479ccb6c36d1e4B7Be4,Curve DAO Token,Curve.fi: bUSD Liquidity Gauge,"['curve-fi', 'yield-farming']"
0xfa712ee4788c042e2b7bb55e6cb8ec569c4530c1,0xc4AD0Ef33A0A4ddA3461c479ccb6c36d1e4B7Be4,Curve DAO Token,Curve.fi: yCRV Liquidity Gauge,"['curve-fi', 'yield-farming']"
0x7ca5b0a2910b33e9759dc7ddb0413949071d7575,0xc4AD0Ef33A0A4ddA3461c479ccb6c36d1e4B7Be4,Curve DAO Token,Curve.fi: cCRV Liquidity Gauge,"['curve-fi', 'yield-farming']"
0xd061d61a4d941c39e5453435b6345dc261c2fce0,0xc4AD0Ef33A0A4ddA3461c479ccb6c36d1e4B7Be4,Curve DAO Token,Curve.fi: Token Minter,['curve-fi']
0x2f50d538606fa9edd2b11e2446beb18c9d5846bb,0xc4AD0Ef33A0A4ddA3461c479ccb6c36d1e4B7Be4,Curve DAO Token,Curve.fi: Gauge Controller,['curve-fi']
0xd533a949740bb3306d119cc777fa900ba034cd52,0xc4AD0Ef33A0A4ddA3461c479ccb6c36d1e4B7Be4,Curve DAO Token,Curve.fi: CRV Token,"['blocked', 'curve-fi']"
0x317625234562b1526ea2fac4030ea499c5291de4,0x51F22ac850D29C879367A77D241734AcB276B815,(Proxy contract) Aave Token,Aave: LEND To AAVE Migrator,['aave']
0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9,0x51F22ac850D29C879367A77D241734AcB276B815,(Proxy contract) Aave Token,Aave: AAVE Token,['aave']
0x090d4613473dee047c3f2706764f49e0821d256e,0x41653c7d61609D856f29355E404F310Ec4142Cfb,Uniswap (UNI),Uniswap: Token Distributor,['uniswap']
0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,0x41653c7d61609D856f29355E404F310Ec4142Cfb,Uniswap (UNI),Uniswap Protocol: UNI token,['uniswap']
0xba100000625a3754423978a60c9317c58a424e3d,0x24A12Fa313F57aF541d447c594072A992c605DCf,Balancer (BAL),Balancer: BAL Token,['balancer']
0xdcd51fc5cd918e0461b9b7fb75967fdfd10dae2f,0x0cCF14983364A7735d369879603930Afe10df21e,Rocket Pool (RPL),Rocket Pool: Node Deposits,['rocket-pool']
